EST	Max TemperatureF	Mean TemperatureF	Min TemperatureF	Max Dew PointF	MeanDew PointF	Min DewpointF	Max Humidity	 Mean Humidity	 Min Humidity	 Max Sea Level PressureIn	 Mean Sea Level PressureIn	 Min Sea Level PressureIn	 Max VisibilityMiles	 Mean VisibilityMiles	 Min VisibilityMiles	 Max Wind SpeedMPH	 Mean Wind SpeedMPH	 Max Gust SpeedMPH	PrecipitationIn	 CloudCover	 Events	 WindDirDegrees	#
1958-1-1	45	38	28	42	31	10	97	73	42				10	7	3	20	10		0	0	Fog-Rain	285	#
1958-1-2	30	26	21	17	11	2	68	53	41				15	14	10	20	14		0	0		287	#
1958-1-3	28	24	19	14	8	2	65	54	37				15	15	15	17	11		0	0		297	#
1958-1-4	23	18	12	10	2	-3	62	52	42				15	15	15	23	13		0	0		340	#
1958-1-5	33	24	14	19	10	1	71	57	48				15	14	10	20	11		0	0		303	#
1958-1-6	42	28	15	25	15	3	75	58	32				15	10	3	17	8		0	0		214	#
1958-1-7	35	30	26	32	25	18	100	83	57				10	5	0	20	7		0		Fog-Snow	40	#
1958-1-8	32	24	17	32	17	6	100	67	51				15	14	7	23	19		0	0		318	#
1958-1-9	30	18	7	11	6	1	77	61	36				15	15	10	17	13		0	0		334	#
1958-1-10	37	23	9	28	14	1	75	67	54				15	9	2	14	8		0	0		245	#
1958-1-11	37	26	16	30	18	6	89	62	41				15	13	8	23	12		0	0		296	#
1958-1-12	30	21	12	15	6	0	68	56	43				15	14	10	23	11		0	0		1	#
1958-1-13	33	20	7	24	12	-7	84	67	48				10	6	2	8	4		0	0		68	#
1958-1-14	37	34	30	37	32	19	100	89	59				10	4	1	31	16		0		Fog-Rain	63	#
1958-1-15	39	37	35	36	34	31	100	88	82				10	8	1	23	15		0		Fog-Rain	357	#
1958-1-16	34	32	30	31	27	23	89	80	69				15	7	3	23	14		0		Fog-Rain-Snow	332	#
1958-1-17	35	32	30	29	25	18	82	73	59				15	10	4	23	16		0		Snow	307	#
1958-1-18	30	24	18	23	18	7	92	76	56				15	8	2	29	15		0		Snow	328	#
1958-1-19	28	20	12	13	5	0	62	53	37				15	15	15	29	21		0	0		337	#
1958-1-20	41	30	18	18	8	0	63	45	31				15	11	2	12	8		0	0		296	#
1958-1-21	46	33	21	45	28	17	93	82	63				8	6	3	12	6		0	0	Fog-Rain	115	#
1958-1-22	57	47	37	55	42	27	100	86	65				15	7	2	23	15		0		Fog-Rain	238	#
1958-1-23	44	38	30	29	25	21	70	62	50				15	14	10	23	16		0	0		321	#
1958-1-24	35	29	24	32	22	15	89	71	50				15	9	5	17	10		0	0		36	#
1958-1-25	39	38	36	40	37	34	100	94	93				6	3	2	29	21		0		Fog-Rain	46	#
1958-1-26	41	38	35	39	35	32	100	88	82				10	7	3	20	15		0		Fog	326	#
1958-1-27	45	38	32	35	30	27	89	76	60				10	9	7	18	13		0	0		300	#
1958-1-28	42	38	35	31	29	27	82	74	62				10	7	5	21	14		0			295	#
1958-1-29	42	38	32	29	27	25	79	67	53				15	10	6	15	11		0	0		287	#
1958-1-30	41	34	25	34	27	21	89	75	53				10	7	4	16	7		0	0		286	#
1958-1-31	45	34	24	30	25	20	88	72	49				10	8	3	17	7		0	0		299	#
1958-2-1	35	31	27	29	23	16	100	75	56				15	6	0	21	14		0	0	Fog-Snow	35	#
1958-2-2	34	28	19	27	19	13	88	65	48				15	12	8	23	14		0		Snow	326	#
1958-2-3	30	26	23	18	13	4	71	58	39				15	12	0	23	12		0		Snow	299	#
1958-2-4	33	28	24	22	18	10	84	64	47				15	11	1	25	17		0		Snow	292	#
1958-2-5	37	32	28	26	19	11	73	57	41				15	10	7	17	12		0			271	#
1958-2-6	39	34	30	32	27	22	82	75	67				10	6	4	8	5		0		Snow	353	#
1958-2-7	36	34	33	35	32	28	100	90	76				10	5	1	23	12		0		Fog-Rain-Snow	58	#
1958-2-8	34	26	17	29	16	5	82	64	46				15	13	8	34	20		0	0		316	#
1958-2-9	21	18	14	6	-2	-6	68	44	32				15	15	15	34	22		0	0		288	#
1958-2-10	19	16	10	2	-3	-7	64	45	34				15	15	15	23	16		0	0		291	#
1958-2-11	30	18	5	16	6	-5	73	59	43				15	11	8	17	8		0	0		226	#
1958-2-12	30	20	10	20	10	3	77	60	41				10	8	4	12	4		0	0	Snow	326	#
1958-2-13	24	19	14	9	2	-6	65	47	34				15	10	10	23	16		0	0		333	#
1958-2-14	27	20	12	11	1	-8	59	44	36				15	15	10	22	16		0	0		294	#
1958-2-15	33	24	15	27	17	8	100	75	49				10	5	0	25	9		0	0	Fog-Snow	85	#
1958-2-16	25	20	10	21	12	-5	89	74	51				10	4	0	31	26		0		Fog-Snow	326	#
1958-2-17	10	8	5	4	-4	-11	83	57	45				15	9	4	29	23		0			288	#
1958-2-18	17	12	6	8	-2	-12	74	55	40				15	12	10	23	17		0			283	#
1958-2-19	28	22	15	16	11	7	74	59	49				15	12	2	23	18		0			303	#
1958-2-20	32	26	21	22	15	11	75	63	47				15	15	15	21	16		0	0		336	#
1958-2-21	41	31	21	21	12	2	58	48	32				15	13	6	17	13		0	0		269	#
1958-2-22	44	39	32	32	25	15	70	59	46				15	9	5	26	11		0			261	#
1958-2-23	39	30	21	27	16	2	73	56	37				15	12	5	21	13		0	0		268	#
1958-2-24	53	38	24	41	30	20	92	73	47				10	6	1	12	7		0	0	Fog	183	#
1958-2-25	50	42	33	33	30	24	82	60	46				15	13	10	23	14		0	0		278	#
1958-2-26	45	36	28	31	25	20	85	67	38				10	8	5	16	8		0		Rain	58	#
1958-2-27	41	38	36	41	36	31	100	93	82				10	5	2	24	19		0		Fog-Rain	37	#
1958-2-28	50	44	37	43	38	31	100	84	67				10	6	2	23	10		0		Fog-Rain	293	#
1958-3-1	46	44	39	38	33	28	71	65	58				10	10	8	26	14		0			286	#
1958-3-2	53	40	28	35	30	22	79	61	37				10	9	4	15	10		0	0		247	#
1958-3-3	48	44	39	47	39	33	97	88	77				10	6	2	14	7		0		Fog-Rain	132	#
1958-3-4	45	38	30	32	27	20	82	64	49				15	10	8	18	14		0	0		327	#
1958-3-5	45	38	30	31	26	21	82	62	44				10	10	7	21	11		0	0		311	#
1958-3-6	48	37	26	33	26	18	88	63	44				10	7	3	17	8		0	0	Fog	275	#
1958-3-7	48	42	34	28	22	14	68	47	31				15	13	10	25	17		0	0		323	#
1958-3-8	45	38	30	24	19	13	56	49	42				15	14	10	23	15		0	0		332	#
